suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,sh,13,2,training,ring,adult,sh,lan,pc,12.374312999999999,9.903319363000001,547723634.0,1334999070.0,897886,0.213517,796176.0,0.0345,168.0,0.004689,726.0,0.000222,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,13,0,training,ring,adult,sh,wan,pc,2125.97097,24.036746839,764563546.0,1800642869.9999998,39608,7.141906,796176.0,0.050107,168.0,0.286075,726.0,0.080862,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,13,1,training,ring,adult,sh,wan,pc,2126.6221899999996,24.385933252,764563546.0,1800642869.9999998,39514,7.061379,796176.0,0.050628,168.0,0.286005,726.0,0.080789,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,13,2,training,ring,adult,sh,wan,pc,2126.5122499999998,24.637610223,764563546.0,1800642869.9999998,39608,7.347268,796176.0,0.050985,168.0,0.286032,726.0,0.081194,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,31,0,training,ring,adult,mal,wan,pc,18284.0215,133.00856796300002,15701605068.0,43993076800.0,186182,21.942551,59643890.0,0.100864,360.0,0.856636,2070.0,0.404361,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,31,1,training,ring,adult,mal,wan,pc,18283.9813,132.978357558,15701605068.0,43993076800.0,186181,21.988184,59643890.0,0.101336,360.0,0.856549,2070.0,0.404552,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc_wan,wan,31,2,training,ring,adult,mal,wan,pc,18283.9808,132.925058809,15701605068.0,43993076800.0,186182,21.947041,59643890.0,0.100604,360.0,0.856666,2070.0,0.40527,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc,mal,15,0,training,ring,mnist_full,mal,lan,pc,8938.993180000001,631.038016908,281442574458.0,5413457316000.0,6340969,7.643121,3611436120.0,3.291249,360.0,0.008068,2070.0,0.001372,528.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
train_3pc,mal,15,1,training,ring,mnist_full,mal,lan,pc,8938.99248,633.029944984,281442574458.0,5413457316000.0,6340966,7.640471,3611436120.0,3.306663,360.0,0.008098,2070.0,0.001386,528.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
train_3pc,mal,15,2,training,ring,mnist_full,mal,lan,pc,8938.991880000001,631.2950466030001,281442574458.0,5413457316000.0,6340965,7.640605,3611436120.0,3.341097,360.0,0.008101,2070.0,0.001372,528.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
train_3pc,sh,15,0,training,ring,mnist_full,sh,lan,pc,1568.05133,159.983162301,11032071138.0,541803127000.0,15059415,1.355601,98412640.0,3.034641,168.0,0.004875,726.0,0.000143,96.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
train_3pc,sh,15,1,training,ring,mnist_full,sh,lan,pc,1569.70721,158.61628392699998,11032071138.0,541803127000.0,14076091,1.386949,98412640.0,1.749161,168.0,0.004742,726.0,0.000149,96.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
train_3pc,sh,15,2,training,ring,mnist_full,sh,lan,pc,1569.70608,159.561843915,11032071138.0,541803127000.0,15059411,1.368267,98412640.0,2.024477,168.0,0.004871,726.0,0.00016,96.0,1,144,48,48,48,48,37632,192,64,64,64,96,32,96,96,496,720
